V1,bidenwins,trumpwins
Alabama,1248,8752
Alaska,2509,7491
Arizona,3584,6416
Arkansas,910,9090
California,9858,142
Colorado,7476,2524
Connecticut,8751,1249
Delaware,9015,985
District of Columbia,9862,138
Florida,3037,6963
Georgia,3360,6640
Hawaii,9220,780
Idaho,969,9031
Illinois,8860,1140
Indiana,1473,8527
Iowa,2636,7364
Kansas,1870,8130
Kentucky,1192,8808
Louisiana,2047,7953
Maine,5006,4994
Maryland,9885,115
Massachusetts,9972,28
Michigan,4387,5613
Minnesota,6035,3965
Mississippi,1723,8277
Missouri,1770,8230
Montana,1468,8532
Nebraska,1538,8462
Nevada,3423,6577
New Hampshire,7325,2675
New Jersey,7143,2857
New Mexico,7982,2018
New York,9039,961
North Carolina,3450,6550
North Dakota,590,9410
Ohio,2504,7496
Oklahoma,996,9004
Oregon,9024,976
Pennsylvania,4507,5493
Rhode Island,9483,517
South Carolina,1932,8068
South Dakota,1053,8947
Tennessee,1046,8954
Texas,2906,7094
Utah,1346,8654
Vermont,9994,6
Virginia,6428,3572
Washington,9040,960
West Virginia,733,9267
Wisconsin,4709,5291
Wyoming,487,9513
Election,5975,4025
